adiaux,さよなら
kloak,下水
kobaj,モルモット
kokon,繭
kolik,疝痛
kolos,巨像
komet,彗星
koral,珊瑚
korne,角膜
korol,花冠
kozak,コサック
krabr,蜂
kreol,クレオール
kript,地下室
kulis,裏方
kumin,クミン
kvast,房
kvint,五度
lagun,潟
lapis,硝石
larik,カラマツ
later,辺数
lazur,瑠璃
legat,使節
lirik,抒情詩
madon,聖母
major,少佐
mamut,マンモス
medol,髄
meduz,クラゲ
melas,糖蜜
melis,レモンバーム
miasm,毒気
mimoz,ミモザ
mitul,意外
moske,モスク
motiv,動機
natri,ナトリウム
nikel,ニッケル
nimfe,ニンフ
noktu,夜
nomad,遊牧民
novel,小説
nunci,使節
oksid,酸化物
oktav,オクターブ
oniks,縞瑪瑙
optik,光学
orbit,軌道
oriol,コウライウグイス
ovaci,喝采
pagod,塔
panel,パネル
panik,パニック
paraf,署名
patos,情熱
pedal,ペダル
pedel,役人
peoni,芍薬
peruk,ウィッグ
pigme,小人
pirat,海賊
pivot,軸
polip,ポリープ
polis,保険
pomad,ポマード
prior,修道院長
prism,プリズム
psalm,詩篇
raket,ロケ
rebus,謎絵
retin,網膜
retor,修辞学
rezed,レゼダ
ricin,ヒマ
rokok,ロココ
rubus,ラズベリー
rutin,習慣
saliv,唾
satan,悪魔
saten,サテン
seraf,天使
sifon,サイフォン
sinap,カラシ
sinod,会議
siren,セイレーン
skalp,頭皮
skerc,冗談
skism,分裂
sonat,ソナタ
sonet,ソネット
spasm,痙攣
sperm,精液
splen,憂鬱
stopl,切株
strof,詩節
sutan,法衣
sxose,道路
sxpat,鋤
taler,貨
tanin,タンニン
tarok,タロ
teism,神信仰
teist,神信者
templ,寺院
tenor,テノール
teror,テロ
tindr,火口
tiran,独裁者
tonel,トン
trofe,トロフィー
trust,信頼
tunik,服
utopi,理想郷
vanel,タゲリ
vinkt,留め具
viper,毒蛇
viski,ウイスキー
zefir,微風
advent,降臨
aksiom,公理
akvari,水槽
algebr,代数
alkemi,錬金
ambici,野心
amulet,守り
anagal,ルリハコベ
anarki,無政府
anatom,解剖学
ancxov,アンチョビ
anemon,アネモネ
anilin,アニリン
aplomb,冷静
apolog,謝罪
arbust,低木
arhxiv,アーカイブ
asesor,判事
ateism,無神論
ateist,無神論
auxkci,オークション
balast,重り
balkon,バルコニー
balzam,香油
bandit,盗賊
barbar,野蛮人
barier,柵
bateri,バッテリー
batist,バチスト
bazalt,玄武岩
beletr,文学
bilanc,貸借表
bilard,ビリヤード
binokl,双眼鏡
biolog,生物学
blazon,紋章
blokad,封鎖
bordel,売春宿
braman,バラモン
brigad,旅団
buduar,寝室
burnus,マント
celeri,セロリ
cidoni,マルメロ
ciklon,低気圧
ciklop,サイクロプス
dekret,法令
depesx,速報
despot,独裁者
diabet,糖尿病
diadem,王冠
diakon,助祭
diplom,証書
divizi,分ける
dragon,竜
eklips,食
eksces,過剰
ekstaz,恍惚
ekvaci,方程式
emblem,象徴
emulsi,乳剤
endivi,チコリ
epilog,結尾
epitet,添え名
epizod,話
erupci,噴火
eskort,護衛
estrad,壇
etiket,礼儀
euxnuk,宦官
ezofag,食道
faktor,因子
falang,方陣
fanfar,ファンファーレ
feniks,フェニックス
feston,花輪
feticx,偶像
fleksi,変化
floren,フロリン
format,形式
frakci,分数
fregat,フリゲート
galant,ユキワリソウ
gangli,神経節
genist,ヒトツバエニシダ
geolog,地質学者
gerani,ゼラニウム
gigant,巨大
glazur,釉薬
glikoz,ブドウ糖
glukoz,グルコース
gondol,ゴンドラ
grafit,黒鉛
gulden,ギルダー
harpun,銛
hetman,司令官
hipnot,催眠
incens,香
indeks,インデックス
inflam,炎症
jaguar,ジャガー
jezuit,イエズス会士
jxaket,上着
kadavr,死体
kadenc,カデンツ
kalibr,口径
kameli,椿
kantat,カンタータ
kanton,郡
karbon,炭素
karcer,牢獄
karier,キャリア
kariol,軽馬車
katedr,講壇
kauxci,保証
kazern,兵営
kokard,バッジ
kolodi,コロジオン
koloni,植民
kompas,コンパス
kondor,コンドル
konjak,コニャック
korife,指揮者
kornet,コルネット
korsar,海賊
korset,コルセット
korvet,コルベット
kotlet,カツ
kursiv,斜体
laktuk,レタス
lavend,ラベンダ
loteri,くじ
lucern,ランプ
maksim,格言
malari,マラリア
marasm,衰弱
markiz,侯
martir,殉教者
masagx,マッサージ
mazurk,マズルカ
medium,霊能者
melodi,メロディ
mentor,指導者
merkat,市場
mespil,西洋カリン
meteor,気象
metrik,韻律
mikrob,微生物
mirakl,奇跡
miriad,無数
molusk,軟体
monark,王
morfin,モルヒネ
mozaik,モザイク
munici,弾薬
nektar,神酒
orkide,ラン
pacxul,パチョリ
parodi,パロディ
pavian,ヒヒ
pedant,学者気取り
pepsin,ペプシン
petard,爆竹
piastr,ピアストル
pistil,雌蕊
podagr,痛風
ponton,舟橋
portal,入口
portik,ポーチ
prelat,高僧
prelud,前奏曲
premis,前提
profan,冒涜者
profil,横顔
prolog,序幕
puding,プリン
pupitr,譜面台
pustul,膿疱
rabarb,ルバーブ
regent,摂政
rektor,学長
relief,レリーフ
retort,レトルト
romanc,ロマンス
rotond,円堂
sandal,サンダル
santal,白檀
sarong,腰布
satrap,太守
sektor,扇形
septet,七重奏
serajl,宮殿
sevrug,チョウザメ
sfinks,スフィンクス
siluet,影絵
simbol,シンボル
sinkop,失神
sintez,合成
skelet,骨格
sofist,詭弁家
spektr,スペクトル
spiral,らせん
sponde,長格
suflor,プロンプター
sultan,スルタン
sxalup,ボート
sxankr,潰瘍
sxarad,謎
taksus,イチイ
taktik,戦術
talmud,タルムード
tamtam,太鼓
tandem,二人乗り
tapiok,タピオカ
teolog,神学者
teorem,定理
terapi,治療
tercet,三行詩
termit,シロアリ
tonsur,剃髪
torped,魚雷
trapez,台形
tribut,貢物
triumf,勝利
turbin,タービン
unison,同音
uragan,台風
vampir,バンパイア
verand,ベランダ
vermut,ベルモット
vinjet,装飾
zigzag,ジグザグ
zodiak,黄道帯
admiral,提督
aerolit,隕石
aforism,格言
agronom,農学者
akrobat,曲芸師
akvarel,水彩
alegori,寓話
alhxemi,錬金術
almanak,暦
ambrozi,神食
ametist,アメジスト
amnesti,恩赦
anagram,回文
analogi,類似
anapest,短短長
anatomi,解剖
angelik,アンゼリカ
anomali,異常
antilop,レイヨウ
antipod,対蹠
antitez,対立
apoteoz,神化
apozici,同格
arabesk,アラベスク
arkaism,古語
asonanc,母音韻
atavism,先祖返り
atribut,特性
auxreol,後光
bankier,銀行員
barikad,バリケード
bariton,バリトン
bastard,私生児
bazilik,バジリカ
biograf,伝記家
biologi,生物
bisturi,メス
bombast,誇張
botanik,植物学
celuloz,セルロース
ceramik,陶器
cilindr,円柱
cistern,タンク
citadel,要塞
cxevron,垂木
demagog,扇動家
diagnoz,診断
dialekt,方言
diametr,直径
difteri,ジフテリア
diftong,二重母音
dinamik,動的
dinamit,ダイナマイト
dinasti,王朝
doktrin,教義
ekspres,急行
eliksir,霊薬
eminenc,台下
epiderm,表皮
epifani,主顕節
epigraf,碑文
epigram,警句
erudici,博識
estetik,美的
etim/olog##,
etiolog,病因学
evoluci,進化
farmaci,薬学
filolog,文献学
filozof,哲学者
fonetik,音声
fronton,ペディメント
gangren,壊疽
gardeni,クチナシ
gencian,リンドウ
geodezi,測地
geograf,地理学者
geologi,地質
geometr,幾何学
gerundi,動詞形容詞
gilotin,断頭台
gimnast,体操教員
gimnazi,高校
guberni,統治
hiacint,ヒヤシンス
hipotek,担保
hipotez,仮説
histeri,ヒステリー
homonim,同音語
hxirurg,外科医
judaism,ユダヤ教
jxargon,専門用語
kalomel,甘汞
kanaben,ベニヒワ
kanibal,人食い
kanonik,参事会員
kaporal,伍長
karamel,キャラメル
karavan,キャラバン
kartusx,カルト
katolik,カトリック
kazemat,砲郭
komplot,陰謀
koncesi,払い下げ
kontakt,接触
korsajx,胴部
kreozot,クレオソート
kriteri,基準
kvadril,四重奏
kvestor,会計官
letargi,昏睡
liturgi,儀式
lozangx,菱形
lumbrik,ミミズ
mahagon,マホガニー
majolik,マジョリカ
makadam,舗装
makaron,マカロン
malakit,孔雀石
mansard,屋根裏
margxen,余白
matador,闘牛士
mekanik,機械
merlang,メルラン
metafor,比喩
minaret,尖塔
mirabel,ミラベル
molekul,分子
monarki,君主制
monolog,独白
monopol,独占
nikotin,ニコチン
obelisk,石塔
oleandr,夾竹桃
oligark,寡頭
omnibus,バス
onobrik,イガマメ
optativ,願望形
pacient,患者
palinur,伊勢海老
pamflet,ビラ
panoram,パノラマ
papirus,パピルス
parabol,放物線
parafin,パラフィン
paskvil,風刺
pasxtel,パステル
patolog,病理学
patrici,貴族
patriot,愛国者
pedagog,教師
pelerin,ケープ
pension,宿泊所
percept,知覚
pilastr,柱
piramid,ピラミッド
plagiat,剽窃
plantag,オオバコ
polemik,論争
prefekt,県知事
procesi,行列
prognoz,予測
prozodi,韻律
puritan,ピューリタン
retorik,修辞
revizor,検察官
samovar,サモワール
sarkasm,皮肉
segment,線分
sekreci,分泌
semafor,信号機
serenad,セレナーデ
sifilis,梅毒
simetri,対称
simfoni,交響曲
simptom,症状
sinagog,シナゴーグ
sinedri,法廷
sinonim,同義語
sintaks,統語論
skandal,醜聞
skrupul,慎重
stearin,蝋
sugesti,示唆
sxiling,シリング
taburet,椅子
tangent,接線
teokrat,神権者
teologi,神学
trombon,トロンボーン
ultimat,最終通告
uvertur,序曲
variant,異文
vazelin,ワセリン
verdikt,判決
veteran,熟練者
vokativ,呼格
abnegaci,犠牲
adjutant,副官
aeroplan,飛行機
agronomi,農学
akvafort,エッチング
akvilegi,アキレギ
alabastr,雪花石膏
aligator,ワニ
ambulanc,救急車
antipati,嫌悪
antologi,選集
apostrof,アポストロフ
arbalest,弩
areometr,浮計
arkeolog,考古学者
arkitekt,建築士
artileri,砲兵
astrolog,占星師
astronom,天文学者
atmosfer,空気
auxdienc,面会
balistik,弾道
balzamin,ホウセンカ
banderol,帯封
barelief,レリーフ
batalion,大隊
bazilisk,バジリスク
biografi,伝記
ceremoni,式
dekadenc,退廃
delegaci,代表団
demagogi,デマ
demokrat,民主者
diafragm,横隔膜
diagonal,対角線
diapazon,音叉
didaktik,教育法
difterit,ジフテリア
diktator,独裁者
discxipl,弟子
dispepsi,消化不良
ditiramb,賛歌
dromedar,ダロメダリ
ekstrakt,抽出
epilepsi,てんかん
erizipel,丹毒
etimologi##,
etiologi,病因学
etnograf,民族学者
evangeli,福音書
faksimil,複写
fakultat,学部
felieton,コラム
feminism,女性運動
feminist,フェミニスト
filologi,文献
filozofi,哲学
fiziolog,生理学者
fonograf,蓄音機
galantin,ガランティン
garnitur,スーツ
garnizon,駐屯隊
genealog,系図学
geometri,幾何
glicerin,グリセリン
gliciriz,甘草
grafolog,筆跡学
gramofon,蓄音機
gutaperk,ガタペルカ
halebard,斧槍
harmonik,ハーモニカ
hegemoni,覇権
hekatomb,百牛犠牲
hierarki,階級
hipodrom,競馬場
honorari,謝礼
horoskop,星図
hortensi,紫陽花
hxirurgi,手術
idiotism,慣用句
imperial,帝国
indigxen,先住民
inkognit,内密
intervju,面接
kalendul,カレンデュラ
kardinal,枢機卿
katafalk,霊柩台
katakomb,地下墓所
katedral,大聖堂
katekist,伝道師
kavaleri,騎兵隊
komandit,合資会社
konfekci,既製服
konflikt,対立
kontralt,アルト
kontrast,対比
konvenci,協定
kosmetik,化粧
kreditor,債権者
ksilofon,シロホン
kvocient,商
labirint,迷路
lauxreat,優勝者
logaritm,対数
logogrif,謎解き
makaroni,マカロニ
mandaren,官吏
mandolin,マンドリン
manifest,明示
manometr,圧計
margarin,マーガリン
marionet,マリオネット
mauxzole,霊廟
mekanism,機構
melodram,メロドラマ
meridian,子午線
metronom,メトロノーム
metropol,大都市
mikrofon,マイク
miniatur,ミニアチュール
monogram,紋章
monomani,偏執
naftalin,ナフタリン
narkotik,麻酔薬
navigaci,航行
nekrolog,訃報
nepotism,縁故贔屓
nihilism,虚無主義
nihilist,虚無主義者
nostalgi,郷愁
numismat,貨幣学者
obligaci,債券
oligarhx,寡頭
oligarki,寡頭制
optimism,楽観
optimist,楽天家
organism,有機体
orografi,地形学
pacifism,平和
pacifist,平和主義者
palanken,籠
panteism,汎神論
panteist,汎神論者
pantomim,無言劇
paradigm,語形表
parafraz,言い換え
paragraf,段落
partitur,楽譜
patologi,病理
pedagogi,教育
perimetr,周辺
peristil,柱廊
pesimism,悲観
pesimist,悲観者
pleonasm,冗言
poliglot,多言語話者
preterit,過去形
procedur,手続
projekci,投影
proporci,比率
prospekt,案内書
protokol,議事録
prototip,試作
prozelit,改宗者
psikolog,心理学者
referenc,参考
renesanc,ルネサンス
reputaci,評判
revelaci,啓示
revolver,リボルバー
rojalist,王党
sacerdot,司祭
sakristi,聖具室
sarkofag,石棺
seminari,セミナー
sensaci,感動
sfinkter,括約筋
silogism,三段論法
solecism,文法違反
stipendi,奨学金
strategi,戦略
subvenci,助成金
talisman,護符
tamburin,タンバリン
tarantel,タランテラ
tarantul,タランチュラ
teleskop,望遠鏡
teokrati,神政
tipograf,印刷者
topograf,地理学者
toreador,闘牛士
transept,翼廊
tuberkul,結節
amfiteatr,円形劇場
apopleksi,卒中
arbitraci,仲裁
arhxeolog,考古学者
arhxitekt,建築家
aritmetik,算数
arkeologi,考古学
arkipelag,諸島
astrologi,占星術
astronomi,天文
auxditori,講堂
auxtograf,サイン
auxtokrat,独裁者
deklaraci,宣言
demokrati,民主
dialektik,弁証法
disciplin,規律
disenteri,赤痢
entomolog,昆虫学者
etnografi,民族誌
filantrop,慈善家
fiziologi,生理学
fizionomi,顔貌
fotografi,撮影
genealogi,系譜学
gladiator,剣士
grafologi,筆跡学
harmonium,オルガン
heksametr,六歩格
heliotrop,ヘリオトロープ
hidrofobi,恐水症
hieroglif,象形
higrometr,湿度計
hipopotam,カバ
homeopati,同種療法
ideografi,表意文字
imperativ,命令形
imperfekt,半過去
impresari,興行主
indikativ,直説法
infanteri,歩兵
infinitiv,不定詞
inkvizici,宗教裁判
intendant,管理者
kabriolet,オープンカー
kandelabr,燭台
karikatur,風刺画
kartograf,地図家
kastanjet,カスタネット
katalepsi,硬直症
katastrof,大災害
katehxist,教理師
kompromis,妥協
konduktor,車掌
konkurenc,競争
kontinent,大陸
kontrabas,低音提琴
konvolvul,ヒルガオ
kosmogoni,宇宙生成
kosmograf,宇宙誌
krizantem,菊
kronologi,年代学
kronometr,時計
krucifiks,十字架
kvadratur,求積
litografi,石版印刷
lokomobil,移動機関
melankoli,憂鬱
metafizik,形而上
mikrometr,マイクロメータ
mikroskop,顕微鏡
mineralog,鉱物学
monoteism,一神教
neologism,新語
oligarhxi,寡頭制
ornitolog,鳥学者
ostracism,追放
paleograf,古文書家
palisandr,紫檀
paroksism,発作
pentametr,五歩格
plutokrat,富豪
politeism,多神教
providenc,摂理
pulcxinel,道化
purgatori,煉獄
recitativ,朗唱
reformaci,宗教改革
rekrement,かす
repertuar,レパートリー
rezignaci,諦め
sakrament,秘跡
sekundant,立会人
skarlatin,猩紅熱
skolastik,学問
somnambul,夢遊者
sortiment,商品セット
spekulaci,投機
spiritism,心霊術
spiritist,霊媒
stalagmit,鍾乳石
stalaktit,鍾乳石
statistik,統計
sxovinism,排外主義
sxovinist,排外主義者
tipografi,印刷
topografi,地誌
velociped,自転車
veterinar,獣医
vivisekci,生体解剖
abiturient,卒業生
alternativ,代替案
anakronism,時代錯誤
antropolog,人類学者
arhxeologi,考古学
arhxipelag,群島
aristokrat,貴族
arkitektur,建築
auxtokrati,独裁
beletristik,美文学
bibliograf,書誌学
civilizaci,文明
dinamometr,動力計
ekskrement,糞
entomologi,昆虫学
euxkaristi,聖餐
filantropi,慈善
hipertrofi,肥大
ingredienc,成分
inkvizitor,審問官
kartografi,地図作成
koeficient,係数
kompliment,褒め言葉
kongregaci,教団
konsistori,枢機会議
kontraband,密輸
kontribuci,賠償
kosmografi,宇宙誌
kosmopolit,国際人
krestomati,模範集
kvintesenc,本質
manufaktur,工場
manuskript,原稿
metamorfoz,変化
meteorolog,気象士
mineralogi,鉱物学
naturalism,自然主義
numismatik,貨幣学
ornitologi,鳥学
paleografi,古文書
perspektiv,視点
plutokrati,金権制
pneuxmatik,タイヤ
prerogativ,特権
pseuxdonim,偽名
stenografi,速記
subjunktiv,仮定法
superlativ,最上級
tuberkuloz,結核
admiralitat,海軍司令部
antropologi,人類学
aristokrati,貴族制
bibliografi,文献学
cirkumfleks,抑揚記号
demonstraci,証明
departement,部門
enciklopedi,百科
hermafrodit,両性
hidrostatik,流体力学
hidroterapi,水治療
imperialism,帝国主義
inauxguraci,式
kalejdoskop,万華鏡
kondicional,条件法
konfederaci,連邦
konglomerat,礫岩
kontrapunkt,対位法
manifestaci,デモ
metempsikoz,転生
meteorologi,気象
observatori,観測所
paleontolog,古生学者
pleuxronekt,ヒラメ
protagonist,主役
protektorat,保護国
pseuxd,偽名
racionalism,合理主義
racionalist,合理主義者
reuxmatism,リウマチ
temperament,性格
tragikomedi,悲喜劇
administraci,管理
demonstrativ,指示詞
konservatori,音楽院
paleontologi,古生学
paralelogram,平行四辺形
spiritualism,唯心論
spiritualist,唯心論者
trigonometri,三角法
auxtobiografi,自伝
t.e.,つまり
k.t.p.,など
kiom,何番
kiom##,
kiom##,
dum,間
dum##,
gxis,まで
gxis##,
anstataux,代わりに
anstataux##,
kiu##,
kiu,どれ
tiu##,
tiu##,
cxiu,各々
cxiu##,
neniu,どれもない
neniu##,
ambaux,両方
ambaux##,
tiu cxi##,
tiu cxi##,
fiks,固定
fiks##,
fals,偽
fals##,
cxu##,
cxu,か
kial,なぜ
kial##,
kiel,ように
kiel##,
tamen,でも
tamen##,
apenaux,ほとんど
apenaux##,
kvazaux,ように
kvazaux##,
cxirkaux,周りに
cxirkaux##,
precip##,
precip,特に
tut,全
tut##,
rest##,
rest,休息
cxiel,様々に
cxiel##,
interes,興味
interes##,
lig,結ぶ
lig##,
rul,転がす
rul##,
arm##,
arm,武器
fos,掘る
fos##,
plant,植える
plant##,
orient##,
orient,東
fald,折る
fald##,
kaj,と
kaj##,
amas,集団
amas##,
kopi,コピー
kopi##,
fotograf,撮る
fotograf##,
cxar,ので
cxar##,
fikci##,
fikci,フィクション
nul,ゼロ
nul##,
klar##,
klar,明確
artikol,記事
artikol##,
auxgust,８月
auxgust##,
por,ために
por##,
opozici,反対
opozici##,
fot,撮る
vibr,揺れる
oscil,揺れる
fluktu,変動
indigo,藍
ad,続
ad,行動
ag,動く
al,へ
am,愛する
an,員
ar,集団
as,ます
at,受身
av,祖父
bo,義
ci,お前
da,の
de,の
di,神
Di,神
do,そこで
du,二
ec,性
eg,強大
ej,所
ek,始
el,中
em,傾向
en,中
er,子
et,小
fe,妖精
fi,嫌
fi,悪い
ge,男女
ha,ああ
he,おい
ho,おお
ia,ある種
id,子
ie,どこか
ig,させる
il,具
in,女
io,何か
ir,行く
is,でした
it,された
iu,ある人
iu,誰か
ja,本当
je,に
ju,ほど
ke,という
l',定冠詞
la,その
li,彼
lu,借りる
mi,私
ne,ない
ni,私たち
nj,ちゃん
nu,じゃあ
od,頌歌
ok,八
ol,より
on,分
op,集合
or,金
os,未来形
ot,られる
ov,卵
pi,敬虔
po,ごと
re,再
se,なら
si,自分
te,お茶
uj,器
ul,者
um,無意味
ur,野牛
us,仮定
uz,使う
ve,ああ
vi,あなた
